artist,title,category,category_score,lyrics,mask
Queen,Bohemian Rhapsody,travel,"[[-0.07706429809331894, 0.06321952491998672, 0.09578600525856018]]","is this the real life? is this just fantasy?
caught in a landslide, no escape from reality
open your eyes, look up to the skies and see
i'm just a poor boy, i need no sympathy (ooh, poor boy)
because i'm easy come, easy go, little high, little low
any way the wind blows (ooh, the wind blows)
doesn't really matter to me, to me
mama, just killed a man
put a gun against his head, pulled my trigger, now he's dead
mama, life had just begun
but now i've gone and thrown it all away
mama, ooh, didn't mean to make you cry
if i'm not back again this time tomorrow
carry on, carry on as if nothing really matters
too late, my time has come
sends shivers down my spine, body's aching all the time
goodbye, everybody, i've got to go
gotta leave you all behind and face the truth
mama, ooh (any way the wind blows)
i don't wanna die (ooh)
i sometimes wish i'd never been born at all (ooh, ooh, ooh, ooh, ooh)
i see a little silhouetto of a man
scaramouche, scaramouche, will you do the fandango?
thunderbolt and lightning, very, very frightening me
(galileo) galileo, (galileo) galileo, galileo figaro
magnifico (oh-oh-oh-oh)
but i'm just a poor boy, nobody loves me
he's just a poor boy from a poor family
spare him his life from this monstrosity
easy come, easy go, will you let me go?
bismillah, no, we will not let you go (let him go)
bismillah, we will not let you go (let him go)
bismillah, we will not let you go (let me go)
will not let you go (let me go)
(never, never, never, never, never, never let me go) will not let you go
oh-oh-oh-oh
no, no, no, no, no, no, no
oh, mamma mia, mamma mia (mamma mia, let me go)
beelzebub has a devil put aside for me, for me, for me
so you think you can stone me and spit in my eye?
so you think you can love me and leave me to die?
oh, baby, can't do this to me, baby
just gotta get out, just gotta get right outta here
(ooh)
(ooh, yeah, ooh, yeah)
nothing really matters, anyone can see
nothing really matters
nothing really matters to me
any way the wind blows","000000002
00020000
0000000200
000000002000
0000000001
000200000
0001000
20000
002000000000
20000
000100000
20000000
00000001
200000000
010000
0300000000
200000
000000001
2000000
00010
00000010000000
00003000
3000000
2000000
000020
30
000010000
000100000
0000003
000100000
30000000000
3000000000
3000000000
00000100
10000000000000
2
1000000
0200000000
300000000000
000000002000
000000000001
01000000
0000000020
2
2000
002000
002
00200
00020"
John Lennon,Imagine,travel,"[[-0.032221678644418716, 0.057440973818302155, 0.1791599839925766]]","imagine there's no heaven
it's easy if you try
no hell below us
above us, only sky
imagine all the people
living for today
i
imagine there's no countries
it isn't hard to do
nothing to kill or die for
and no religion too
imagine all the people
living life in peace
you
you may say i'm a dreamer
but i'm not the only one
i hope someday you'll join us
and the world will be as one
imagine no possessions
i wonder if you can
no need for greed or hunger
a brotherhood of man
imagine all the people
sharing all the world
you
you may say i'm a dreamer
but i'm not the only one
i hope someday you'll join us
and the world will live as one","0002
01000
0100
0002
2000
100
1
2000
00100
001000
0020
2000
0001
1
000002
100000
002000
0010000
002
00001
000200
0200
2000
2000
1
000002
100000
002000
0010000"
Eagles,Hotel California,travel,"[[-0.024340230971574783, 0.0881865844130516, 0.1873655468225479]]","on a dark desert highway
cool wind in my hair
warm smell of colitas
rising up through the air
up ahead in the distance
i saw a shimmering light
my head grew heavy and my sight grew dim
i had to stop for the night
there she stood in the doorway
i heard the mission bell
and i was thinkin' to myself
""this could be heaven or this could be hell""
then she lit up a candle
and she showed me the way
there were voices down the corridor
i thought i heard them say
""welcome to the hotel california
such a lovely place (such a lovely place)
such a lovely face
plenty of room at the hotel california
any time of year (any time of year)
you can find it here""
her mind is tiffany-twisted
she got the mercedes benz, uh
she got a lot of pretty, pretty boys
that she calls friends
how they dance in the courtyard
sweet summer sweat
some dance to remember
some dance to forget
so i called up the captain
""please bring me my wine""
he said, ""we haven't had that spirit here
since 1969""
and still those voices are callin'
from far away
wake you up in the middle of the night
just to hear them say
""welcome to the hotel california
such a lovely place (such a lovely place)
such a lovely face
they livin' it up at the hotel california
what a nice surprise (what a nice surprise)
bring your alibis""
mirrors on the ceiling
the pink champagne on ice, and she said
""we are all just prisoners here
of our own device""
and in the master's chambers
they gathered for the feast
they stab it with their steely knives
but they just can't kill the beast
last thing i remember, i was
running for the door
i had to find the passage back
to the place i was before
""relax,"" said the night man
""we are programmed to receive
you can check out any time you like
but you can never leave""","00002
02000
0003
20000
00002
00030
002000000
0000001
000002
00002
000200
000200000
000002
010000
000002
000100
00020
00010000
0020
0000020
00010000
00001
0002
000200
00000010
0001
000002
002
0200
0200
000002
00002
00000020
02
000003
001
200000000
00001
00020
00010000
0020
00000020
00020000
003
2000
00200000
000020
0002
00002
00002
0200000
0000002
000100
0001
0000020
000001
20000
00200
00100000
00001"
Michael Jackson,Billie Jean,study,"[[0.03002336621284485, -0.017271963879466057, 0.024354681372642517]]","she was more like a beauty queen from a movie scene, uh
i said, ""don't mind, but what do you mean, i am the one?
who will dance on the floor in the round?""
she said i am the one
who will dance on the floor in the round?
she told me her name was billie jean as she caused a scene
then every head turned with eyes that dreamed of bein' the one, uh
who will dance on the floor in the round?
people always told me, ""be careful of what you do,"" uh
""and don't go around breakin' young girls' hearts"" (hee-hee)
and mother always told me, ""be careful of who you love
and be careful of what you do (oh, oh)
'cause the lie becomes the truth"" (oh, oh), hey
billie jean is not my lover, uh
she's just a girl who claims that i am the one (oh, baby)
but the kid is not my son (woo)
uh, she says i am the one (oh, baby)
but the kid is not my son (hee-hee-hee; no, no)
(hee-hee-hee, woo)
for forty days and for forty nights, the law was on her side
but who can stand when she's in demand? her schemes and plans
'cause we danced on the floor in the round (hee, uh, uh)
so take my strong advice
just remember to always think twice (don't think twice)
do think twice (a-hoo)
she told my baby we danced 'til three, then she looked at me
then showed a photo of a baby cryin', his eyes were like mine (oh, no)
'cause we danced on the floor in the round, baby (ooh, hee-hee-hee)
people always told me, ""be careful of what you do,"" uh
""and don't go around breakin' young girls' hearts"" (don't break no hearts; hee-hee)
but she came and stood right by me
just the smell of sweet perfume (ha-oh)
this happened much too soon (ha-oh, ha-ooh)
she called me to her room (ha-oh, hoo), hey
billie jean is not my lover (woo)
she's just a girl who claims that i am the one, uh
but the kid is not my son, uh
no-no-no, uh, no-no-no, no-no-no (woo)
billie jean is not my lover, uh
she's just a girl who claims that i am the one
but the kid is not my son (no, no)
she says i am the one (oh, baby)
but the kid is not my son (no, hee-hee-hee)
(ah-hee-hee-hee)
hee, hoo
(chicka-boom, chicka-boom, chicka-boom, chicka-boom)
she says i am the one, uh
but the kid is not my son (no-no-no, woo, uh)
billie jean is not my lover, uh
she's just a girl who claims that i am the one (you know what you did to me, baby)
but the kid is not my son
no-no-no (no-no-no, ah), no-no-no-no (no-no-no)
she says i am the one (no, baby)
but the kid is not my son (no-no-no-no; woo, uh)
she says i am the one (you know what you did)
she says he is my son (breakin' my heart, babe)
she says i am the one
yeah, yeah, billie jean is not my lover, uh
yeah, billie jean is not my lover, uh
yeah, billie jean is not my lover, uh (she is just a girl)
yeah, billie jean is not my lover, uh (she is just a girl; don't call me billie jean, hoo)
billie jean is not my lover, uh (she is just a girl; she's not at the scene)
billie jean is not (hee), aaow, ooh
yeah, billie jean is","000002000000
0010000000000
002000000
100000
002000000
0000002000000
0000000200000
002000000
00000200000
000030000
01000000000
002000000
000001000
2000000
0001000000000
00200000
010000000
0020000000
20
0200000000000
000000020000
002000000000
00002
000002000
0020
0000020000000
000000030000000
002000000000
00000200000
0000000200000
00002000
0000020
0000020
000001000
2000000
000100000000
00200000
10000
2000000
00010000000
002000000
10000000
000000002
2
20
0300
1000000
0020000000
2000000
0001000000000000000
0000001
00001
10000000
0020000000
10000000000
0000003000
100000
002000000
02000000
0200000000000
0200000000000000000
20000000000000000
2000000
0200"
Madonna,Like a Prayer,travel,"[[-0.06969887018203735, -0.005513268988579512, 0.03589587286114693]]","life is a mystery
everyone must stand alone
i hear you call my name
and it feels like home
when you call my name
it's like a little prayer
i'm down on my knees
i want to take you there
in the midnight hour
i can feel your power
just like a prayer
you know i'll take you there
i hear your voice
it's like an angel sighing
i have no choice
i hear your voice
feels like flying
i close my eyes
oh god, i think i'm falling
out of the sky
i close my eyes
heaven, help me
when you call my name
it's like a little prayer
i'm down on my knees
i want to take you there
in the midnight hour
i can feel your power
just like a prayer
you know i'll take you there
like a child
you whisper softly to me
you're in control
just like a child
now i'm dancing
it's like a dream
no end and no beginning
you're here with me
it's like a dream
let the choir sing
when you call my name
it's like a little prayer
i'm down on my knees
i wanna take you there
in the midnight hour
i can feel your power
just like a prayer
you know i'll take you there
when you call my name
it's like a little prayer
i'm down on my knees
i wanna take you there
in the midnight hour
i can feel your power
just like a prayer
you know i'll take you there
life is a mystery
everyone must stand alone
i hear you call my name
and it feels like home
just like a prayer
your voice can take me there
just like a muse to me
you are a mystery
just like a dream
you are not what you seem
just like a prayer, no choice
your voice can take me there
just like a prayer, i'll take you there
it's like a dream to me (mm, mm-mm)
just like a prayer, i'll take you there (i'll take you there)
it's like a dream to me (oh, oh-oh-oh yeah)
just like a prayer, i'll take you there (i'll take you there)
it's like a dream to me (oh yeah, yeah, yeah yeah yeah yeah)
just like a prayer, i'll take you there (oh, yeah)
it's like a dream to me (oh, oh)
just like a prayer
your voice can take me there
just like a muse to me
you are a mystery
just like a dream
you are not what you seem
just like a prayer, no choice
your voice can take me there
just like a prayer
your voice can take me there
just like a muse to me
you are a mystery
just like a dream
you are not what you seem
just like a prayer, no choice
your voice can take me there
your voice can take me there
like a prayer
it's like a prayer, your voice can take me there
it's like a prayer
it's like a prayer, your voice can take me there
it's like a prayer
it's like a prayer, your voice can take me there
it's like a prayer
it's like a prayer, your voice can take me there
it's like a prayer","0002
0001
010000
00001
10000
00002
00002
000100
0020
00001
0002
000100
0100
00003
0001
0100
002
0001
000002
0002
0001
200
10000
00002
00002
000100
0020
00001
0002
000100
001
00200
001
0001
002
0002
01000
1000
0002
0020
10000
00002
00002
01000
0020
00001
0002
000100
10000
00002
00002
01000
0020
00001
0002
000100
0002
0001
010000
00001
0002
010000
000200
0002
0002
000001
000200
010000
00020000
00000002
000200000000
000200000
000200000000
0002000000000
0002000000
00020000
0002
010000
000200
0002
0002
000001
000200
010000
0002
010000
000200
0002
0002
000001
000200
010000
010000
002
0002000000
0002
0002000000
0002
0002000000
0002
0002000000
0002"
Nirvana,Smells Like Teen Spirit,travel,"[[0.02741027995944023, 0.14330843091011047, 0.1670723706483841]]","load up on guns, bring your friends
it's fun to lose and to pretend
she's over-bored and self-assured
oh no, i know a dirty word
hello, hello, hello, how low
hello, hello, hello, how low
hello, hello, hello, how low
hello, hello, hello
with the lights out, it's less dangerous
here we are now, entertain us
i feel stupid and contagious
here we are now, entertain us
a mulatto, an albino
a mosquito, my libido, yeah
hey, yay
i'm worse at what i do best
and for this gift, i feel blessed
our little group has always been
and always will until the end
hello, hello, hello, how low
hello, hello, hello, how low
hello, hello, hello, how low
hello, hello, hello
with the lights out, it's less dangerous
here we are now, entertain us
i feel stupid and contagious
here we are now, entertain us
a mulatto, an albino
a mosquito, my libido, yeah
hey, yay
and i forget just why i taste
oh, yeah, i guess it makes me smile
i found it hard, it's hard to find
oh, well, whatever, never mind
hello, hello, hello, how low
hello, hello, hello, how low
hello, hello, hello, how low
hello, hello, hello
with the lights out, it's less dangerous
here we are now, entertain us
i feel stupid and contagious
here we are now, entertain us
a mulatto, an albino
a mosquito, my libido
a denial, a denial
a denial, a denial
a denial, a denial
a denial, a denial
a denial","0002000
0000002
0200
0000020
00001
00001
00001
200
0000002
000020
00002
000020
0002
02000
10
0200000
0000002
001000
000001
00001
00001
00001
200
0000002
000020
00002
000020
0002
02000
10
0000002
10000000
00000001
00100
00001
00001
00001
200
0000002
000020
00002
000020
0002
0200
0002
0002
0002
0002
02"
Oasis,Wonderwall,travel,"[[-0.011533724144101143, 0.07200256735086441, 0.16942059993743896]]","today is gonna be the day
that they're gonna throw it back to you
by now, you should've somehow
realised what you gotta do
i don't believe that anybody
feels the way i do about you now
backbeat, the word is on the street
that the fire in your heart is out
i'm sure you've heard it all before
but you never really had a doubt
i don't believe that anybody
feels the way i do about you now
and all the roads we have to walk are winding
and all the lights that lead us there are blinding
there are many things that i would like to say to you
but i don't know how
because maybe
you're gonna be the one that saves me
and after all
you're my wonderwall
today was gonna be the day
but they'll never throw it back to you
by now, you should've somehow
realised what you're not to do
i don't believe that anybody
feels the way i do about you now
and all the roads that lead you there were winding
and all the lights that light the way are blinding
there are many things that i would like to say to you
but i don't know how
i said maybe
you're gonna be the one that saves me
and after all
you're my wonderwall
i said maybe (i said maybe)
you're gonna be the one that saves me
and after all
you're my wonderwall
i said maybe (i said maybe)
you're gonna be the one that saves me (that saves me)
you're gonna be the one that saves me (that saves me)
you're gonna be the one that saves me (that saves me)","100000
00020000
00020
20000
00100
20000000
3000000
00100000
0001000
0000002
00100
20000000
0002000000
0000000002
000000000100
00001
10
00000020
100
003
100000
00020000
00020
200000
00100
20000000
0000000002
0000000002
000000000100
00001
001
00000020
100
003
001000
00000020
100
003
001000
00000020000
00000020000
00000020000"
Adele,Rolling in the Deep,travel,"[[0.011435400694608688, -0.007461517117917538, 0.07309191673994064]]","there's a fire starting in my heart
reaching a fever pitch and it's bringing me out the dark
finally, i can see you crystal clear
go ahead and sell me out and i'll lay your shit bare
see how i'll leave with every piece of you
don't underestimate the things that i will do
there's a fire starting in my heart
reaching a fever pitch and it's bringing me out the dark
the scars of your love remind me of us
they keep me thinkin' that we almost had it all
the scars of your love, they leave me breathless
i can't help feeling
we could've had it all (you're gonna wish you never had met me)
rolling in the deep (tears are gonna fall, rolling in the deep)
you had my heart inside of your hand (you're gonna wish you never had met me)
and you played it to the beat (tears are gonna fall, rolling in the deep)
baby, i have no story to be told
but i've heard one on you, now i'm gonna make your head burn
think of me in the depths of your despair
make a home down there, as mine sure won't be shared
(you're gonna wish you never had met me) the scars of your love remind me of us
(tears are gonna fall, rolling in the deep) they keep me thinkin' that we almost had it all
(you're gonna wish you never had met me) the scars of your love, they leave me breathless
(tears are gonna fall, rolling in the deep) i can't help feeling
we could've had it all (you're gonna wish you never had met me)
rolling in the deep (tears are gonna fall, rolling in the deep)
you had my heart inside of your hand (you're gonna wish you never had met me)
and you played it to the beat (tears are gonna fall, rolling in the deep)
could've had it all
rolling in the deep
you had my heart inside of your hand
but you played it with a beating
throw your soul through every open door (ooh woah, oh)
count your blessings to find what you look for (woah)
turn my sorrow into treasured gold (ooh woah, oh)
you'll pay me back in kind and reap just what you've sown
(you're gonna wish you never had met me)
we could've had it all (tears are gonna fall, rolling in the deep)
we could've had it all, yeah (you're gonna wish you never had met me)
it all, it all, it all (tears are gonna fall, rolling in the deep)
we could've had it all (you're gonna wish you never had met me)
rolling in the deep (tears are gonna fall, rolling in the deep)
you had my heart inside of your hand (you're gonna wish you never had met me)
and you played it to the beat (tears are gonna fall, rolling in the deep)
could've had it all (you're gonna wish you never had met me)
rolling in the deep (tears are gonna fall, rolling in the deep)
you had my heart inside of your hand (you're gonna wish you never had met me)
but you played it, you played it, you played it
you played it to the beat","0010000
00200000000
0000001
000200000000
000100000
02000000
0010000
00200000000
020000000
0000001000
020000000
0001
0200000000000
200000000000
0001000000000000
000000020000000
00001000
0000000000002
000000002
00100000000
00000000020000000
200000000000000000
00000000020000000
200000000000
0200000000000
200000000000
0001000000000000
000000020000000
2000
2000
00010000
0000002
0020000000
0020000000
002000000
000000020000
10000000
0200000000000
00000000000010
00000020000000
0200000000000
200000000000
0001000000000000
000000020000000
200000000000
200000000000
0001000000000000
0010000000
000001"
Ed Sheeran,Shape of You,travel,"[[0.0912957638502121, 0.10595022886991501, 0.12255793809890747]]","a club isn't the best place to find a lover
so the bar is where i go (mm)
me and my friends at the table doin' shots
drinkin' fast and then we talk slow (mm)
and you come over and start up a conversation with just me
and trust me, i'll give it a chance now (mm)
take my hand, stop, put van the man on the jukebox
and then we start to dance, and now i'm singin' like
girl, you know i want your love
your love was handmade for somebody like me
well, come on now, follow my lead
i may be crazy, don't mind me
say, ""boy, let's not talk too much""
grab on my waist and put that body on me
well, come on now, follow my lead
come, come on now, follow my lead, mm
i'm in love with the shape of you
we push and pull like a magnet do
although my heart is fallin' too
i'm in love with your body
and last night, you were in my room
and now my bed sheets smell like you
every day, discoverin' somethin' brand new
well, i'm in love with your body
oh, i, oh, i, oh, i, oh, i
well, i'm in love with your body
oh, i, oh, i, oh, i, oh, i
well, i'm in love with your body
oh, i, oh, i, oh, i, oh, i
well, i'm in love with your body
every day, discoverin' somethin' brand new
i'm in love with the shape of you
one week in, we let the story begin
we're goin' out on our first date (mm)
you and me are thrifty, so go all-you-can-eat
fill up your bag and i fill up a plate (mm)
we talk for hours and hours about the sweet and the sour
and how your family is doin' okay (mm)
and leave and get in a taxi, and kiss in the back seat
tell the driver make the radio play and i'm singin' like
girl, you know i want your love
your love was handmade for somebody like me
well, come on now, follow my lead
i may be crazy, don't mind me
say, ""boy, let's not talk too much""
grab on my waist and put that body on me
well, come on now, follow my lead
come, come on now, follow my lead, mm
i'm in love with the shape of you
we push and pull like a magnet do
although my heart is fallin' too
i'm in love with your body
and last night, you were in my room
and now my bed sheets smell like you
every day, discoverin' somethin' brand new
well, i'm in love with your body
oh, i, oh, i, oh, i, oh, i
well, i'm in love with your body
oh, i, oh, i, oh, i, oh, i
well, i'm in love with your body
oh, i, oh, i, oh, i, oh, i
well, i'm in love with your body
every day, discoverin' somethin' brand new
i'm in love with the shape of you
come on, be my baby, come on
come on, be my baby, come on
come on, be my baby, come on
come on, be my baby, come on
come on, be my baby, come on
come on, be my baby, come on
come on, be my baby, come on
come on, be my baby, come on
i'm in love with the shape of you
we push and pull like a magnet do
although my heart is fallin' too
i'm in love with your body
and last night, you were in my room
and now my bed sheets smell like you
every day, discoverin' somethin' brand new
well, i'm in love with your body
come on, be my baby, come on
come on, be my baby, come on
i'm in love with your body
come on, be my baby, come on
come on, be my baby, come on
i'm in love with your body
come on, be my baby, come on
come on, be my baby, come on
i'm in love with your body
every day, discoverin' somethin' brand new
i'm in love with the shape of you","0100000000
00200000
000000002
30000000
000000002000
0000000002
00000200000
00000000030
1000000
00020000
0000001
0001000
0000100
0002000000
0000001
00000010
00000200
02000000
000030
000001
00000001
00002000
003000
0000001
01000000
0000001
01000000
0000001
01000000
0000001
003000
00000200
01000000
00000010
00003000
20000000000
000000000002
00010000
0000002000000
00000100000
1000000
00020000
0000001
0001000
0000100
0002000000
0000001
00000010
00000200
02000000
000030
000001
00000001
00002000
003000
0000001
01000000
0000001
01000000
0000001
01000000
0000001
003000
00000200
0010000
0010000
0010000
0010000
0010000
0010000
0010000
0010000
00000200
02000000
000030
000001
00000001
00002000
003000
0000001
0010000
0010000
000001
0010000
0010000
000001
0010000
0010000
000001
003000
00000200"
Adele,Someone Like You,travel,"[[0.03484923392534256, -0.023926138877868652, 0.039447955787181854]]","i heard that you're settled down
that you found a girl and you're married now
i heard that your dreams came true
guess she gave you things i didn't give to you
old friend, why are you so shy?
ain't like you to hold back or hide from the light
i hate to turn up out of the blue, uninvited
but i couldn't stay away, i couldn't fight it
i had hoped you'd see my face
and that you'd be reminded that for me, it isn't over
never mind, i'll find someone like you
i wish nothing but the best for you, too
don't forget me, i beg
i remember you said
sometimes it lasts in love, but sometimes it hurts instead
sometimes it lasts in love, but sometimes it hurts instead
you know how the time flies
only yesterday was the time of our lives
we were born and raised in a summer haze
bound by the surprise of our glory days
i hate to turn up out of the blue, uninvited
but i couldn't stay away, i couldn't fight it
i had hoped you'd see my face
and that you'd be reminded that for me, it isn't over
never mind, i'll find someone like you
i wish nothing but the best for you, too
don't forget me, i beg
i remember you said
sometimes it lasts in love, but sometimes it hurts instead
nothing compares, no worries or cares
regrets and mistakes, they're memories made
who would have known how bittersweet this would taste?
never mind, i'll find someone like you
i wish nothing but the best for you
don't forget me, i beg
i remember you said
sometimes it lasts in love, but sometimes it hurts instead
never mind, i'll find someone like you
i wish nothing but the best for you, too
don't forget me, i beg
i remember you said
sometimes it lasts in love, but sometimes it hurts instead
sometimes it lasts in love, but sometimes it hurts instead","000020
000000010
0000200
0000000100
0000002
00000002000
0000000003
000000010
0020000
00000000001
0100000
010000000
00002
0100
0020000000
0020000000
000010
02000000
000000010
00000020
0000000003
000000010
0020000
00000000001
0100000
010000000
00002
0100
0020000000
020000
200000
000002000
0100000
01000000
00002
0100
0020000000
0100000
010000000
00002
0100
0020000000
0020000000"
